Municipality,Number_of_vegetation_plots,Vegetation_area_KM2,Municipality_area_KM2,Vegetation_cover_%,HDIM_2010,Child_mortality_2017,GDP_cap_2018,Sawage_2010_%,S_Species_richness,PD_Phylogenetic__richness,FD_Functional_richness,Temporary_crop_revenue,Permanent_crop_revenue,Predicted_S,Future_S,Predicted_FD,Future_FD,Predicted_PD,Future_PD,Prediceted_Permanent_crop_revenue,Future_Permanent_crop_revenue,Predicted_Temporary_crop_revenue,Future_Temporary_crop_revenue
Major Gercino,2,241.9138678,306.058,79.04183774,698,52.63,14383.12,54.3,67,4166.40015,0.07362210904,6.452504647,14.88520632,69.38845484,61.7545663,0.08101233984,0.08195173942,4014.703944,3896.346457,11.57089485,11.73348102,7.096062319,7.340009667
Major Vieira,4,184.3469085,520.816,35.3957844,690,12.2,26205.89,36.7,40.75,2865.821075,0.08656191247,4.093688458,5.652937332,36.82734238,38.54812074,0.07173960019,0.07189724684,2790.254195,2797.40995,5.065277112,5.058249747,4.312755005,4.472965472
Massaranduba,1,204.3706935,374.459,54.57758887,774,14.29,32809.4,86,51,3568.1845,0.07508550797,5.06131037,11.72186481,54.51143613,57.68856723,0.08083005612,0.08521549497,3878.315302,3927.36626,13.2314921,13.54785205,4.951791651,5.115306302
Matos Costa,1,228.8196412,435.391,52.55497729,657,64.52,20235.45,27,48,3272.1266,0.07227836259,3.862755608,10.59106441,40.27133071,36.43598515,0.06133820185,0.06171270901,2820.830733,2707.294217,9.000783928,8.651892444,3.560166231,3.536188684
Mirim Doce,2,240.8388876,337.991,71.25600611,708,30.3,22672.28,78.1,53,3345.89155,0.06935666554,4.177744069,12.35978261,52.4585275,41.62042359,0.07759031811,0.07418534735,3225.164321,2962.551693,12.9001268,14.20374612,6.036404683,5.421337719
Mondaí,3,68.32703244,200.276,34.11643554,748,16.53,56640.75,27.6,37,2787.711433,0.1043904904,2.978183159,7.056307889,31.04317827,37.00141858,0.1036698196,0.07968517173,2505.493052,2151.295937,4.79463462,4.677082293,2.901142484,3.273936795
Monte Castelo,2,294.3060959,560.743,52.4850236,675,15.15,21278.78,42.2,29,2146.89895,0.03306149167,3.980945148,10.35704021,36.58693784,36.80303855,0.05085746069,0.05398014067,2413.670047,2531.30416,12.57564592,12.00770771,3.622438515,3.299466986
Morro da Fumaça,1,11.09390529,82.818,13.39552427,738,7.46,36437.43,52.9,50,3543.143,0.03347202921,5.694356346,10.71515449,44.90940197,44.0176196,0.08466360243,0.08695262744,3745.597118,3771.924737,11.59683914,11.75101869,6.073666524,6.180651739
Morro Grande,2,178.9613671,260.143,68.79345862,701,20.41,36160.9,97.7,72,4490.5682,0.08285856805,4.630332888,5.147111111,59.08163484,57.06134214,0.08409342812,0.08821012657,3589.135924,3684.643196,4.624713194,4.90087511,4.542414699,4.696841559
Navegantes,1,30.32337844,111.377,27.22588905,736,13.87,48187.98,87.5,55,3306.7607,0.05125706273,4.180739579,12.64317552,55.65971951,57.91040523,0.08130351514,0.08545900878,3581.097439,3755.968653,13.4442895,13.99374614,4.383185489,4.546055141
Nova Itaberaba,2,40.39263297,137.388,29.40040831,736,25.64,24742.86,9.5,39.5,2931.89945,0.1002693675,2.748202731,9.142973448,35.57639209,41.5031034,0.09524714454,0.08287831411,2743.053422,2573.447107,8.262258123,7.417359023,2.59275057,2.529795135
Nova Trento,2,328.7375774,402.852,81.60256803,748,20.41,41341.86,70.8,56.5,3699.0575,0.05603483958,6.087078794,10.95591038,55.74492393,59.25581383,0.08234451699,0.08776369364,3883.636807,3937.371027,9.261702239,9.473851158,5.964636862,6.037316188
